# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
      Mars 6.417000e+23 2.278998e+11 2.606039e+08 5.833196e-10 -2.760044e+01 2.412999e+04 8.107172e-14
   Jupiter 1.898000e+27 7.785000e+11 1.411541e+08 1.040370e-11 -2.118714e+00 1.306974e+04 1.445217e-15
    Saturn 5.683000e+26 1.433000e+12 1.045436e+08 1.563673e-12 -7.048301e-01 9.679938e+03 2.171979e-16
    Uranus 8.681000e+25 2.877000e+12 7.343979e+07 1.859285e-13 -1.519020e-01 6.799972e+03 2.582474e-17
   Neptune 1.024000e+26 4.503000e+12 5.864343e+07 4.782764e-14 -1.632763e-01 5.429919e+03 6.642964e-18
      Moon 7.342000e+22 1.498149e+11 3.747607e+06 2.618465e-09 7.824672e+02 3.035320e+04 3.640641e-13
    Phobos 1.070000e+16 2.279070e+11 2.501696e+08 5.833436e-10 1.967807e+03 2.402358e+04 8.107244e-14
    Deimos 1.480000e+15 2.279168e+11 2.464191e+08 5.832826e-10 9.344496e+02 2.519294e+04 8.106469e-14
        Io 8.930000e+22 7.787827e+11 -1.538159e+08 1.039762e-11 1.307458e+04 2.525953e+04 1.444272e-15
    Europa 4.800000e+22 7.791293e+11 -7.583101e+07 1.037986e-11 4.535972e+03 2.615652e+04 1.441869e-15
  Ganymede 1.480000e+23 7.787325e+11 1.183394e+09 1.038839e-11 -1.064223e+04 1.544575e+04 1.443163e-15
  Callisto 1.080000e+23 7.774650e+11 1.712165e+09 1.044184e-11 -6.852236e+03 8.556824e+03 1.450564e-15
     Titan 1.345000e+23 1.433199e+12 -1.100614e+09 1.563250e-12 5.496972e+03 1.058862e+04 2.171362e-16
      Rhea 2.310000e+21 1.432821e+12 5.972450e+08 1.564006e-12 -8.010902e+03 6.769183e+03 2.172488e-16
   Iapetus 1.810000e+21 1.429655e+12 -1.112785e+09 1.575080e-12 1.114161e+03 6.616499e+03 2.187819e-16
     Dione 1.100000e+21 1.432632e+12 4.769312e+07 1.564916e-12 1.456666e+03 -5.039870e+02 2.173700e-16
    Tethys 6.170000e+20 1.432906e+12 -1.667655e+08 1.564285e-12 1.097914e+04 5.735028e+03 2.172767e-16
 Enceladus 1.080000e+20 1.432782e+12 1.603592e+08 1.564229e-12 -3.385951e+03 -2.979311e+03 2.172776e-16
