# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
   Titania 3.420000e+21 -2.666482e+10 3.923331e+07 5.847850e-10 -2.506165e+06 3.627933e+03 8.685694e-14
    Oberon 3.000000e+21 -1.441174e+10 3.353999e+07 5.458067e-10 -1.376897e+06 3.076984e+03 7.859521e-14
    Triton 2.140000e+22 -4.057817e+10 4.738609e+07 6.370444e-10 -3.788769e+06 4.386015e+03 9.821422e-14
Asteroid_1 2.870850e+16 -1.068116e+11 -6.252209e+10 6.553619e+09 1.654435e+04 -2.826482e+04 -5.123086e+00

# Step 3, Time: 1.080000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 1.113991e+05 8.071856e+04 8.548329e-10 1.222548e+01 1.035830e+01 9.498112e-14
   Mercury 3.301000e+23 5.789487e+10 6.893127e+08 2.964962e-10 -5.702175e+02 4.786745e+04 3.293311e-14
     Venus 4.867000e+24 1.081985e+11 5.042863e+08 1.445938e-10 -1.632782e+02 3.501971e+04 1.606540e-14
     Earth 5.972000e+24 1.495992e+11 4.288314e+08 8.835094e-11 -8.541386e+01 2.977991e+04 9.817275e-15
      Mars 6.417000e+23 2.278997e+11 3.474719e+08 4.116658e-11 -3.680052e+01 2.412998e+04 4.574554e-15
   Jupiter 1.898000e+27 7.785000e+11 1.882080e+08 2.326924e-12 -3.152902e+00 1.307000e+04 2.585686e-16
    Saturn 5.683000e+26 1.433000e+12 1.393920e+08 4.445520e-13 -9.351312e-01 9.680000e+03 4.939727e-17
    Uranus 8.681000e+25 2.877000e+12 9.792000e+07 6.121408e-14 -2.315934e-01 6.800000e+03 6.801759e-18
   Neptune 1.024000e+26 4.503000e+12 7.819200e+07 1.660739e-14 -9.449719e-02 5.430000e+03 1.845300e-18
      Moon 7.342000e+22 -4.623799e+10 1.470103e+07 1.133799e-09 -3.235946e+06 1.020359e+03 1.445400e-13
    Phobos 1.070000e+16 -7.825012e+13 3.078720e+07 3.418715e-10 -5.434036e+09 2.138000e+03 2.374108e-14
    Deimos 1.480000e+15 -1.250506e+13 1.945440e+07 3.417902e-10 -8.684084e+08 1.351000e+03 2.373598e-14
        Io 8.930000e+22 -3.820529e+10 2.489246e+08 1.068849e-09 -2.679927e+06 1.726975e+04 1.327341e-13
    Europa 4.800000e+22 -1.399848e+10 1.884110e+08 9.148878e-10 -9.981941e+05 1.277639e+04 1.057571e-13
  Ganymede 1.480000e+23 2.221468e+10 -2.300349e+09 9.247457e-10 2.092453e+06 -2.161512e+05 9.670711e-14
  Callisto 1.080000e+23 -8.146263e+11 -1.147349e+12 1.987494e-07 -1.131465e+08 -1.593596e+08 2.756954e-11
     Titan 1.345000e+23 -9.425719e+11 -2.695007e+11 2.951999e-08 -8.728164e+07 -2.495563e+07 2.727460e-12
      Rhea 2.310000e+21 -2.406137e+10 1.210926e+08 9.731765e-10 -1.700979e+06 8.374713e+03 1.157906e-13
   Iapetus 1.810000e+21 1.989632e+09 3.996520e+07 8.032104e-10 -1.931588e+05 1.954674e+03 9.004950e-14
     Dione 1.100000e+21 -4.799265e+10 1.461642e+08 1.147802e-09 -3.357435e+06 1.014543e+04 1.471010e-13
    Tethys 6.170000e+20 -7.876765e+10 1.634058e+08 1.474398e-09 -5.489888e+06 1.134642e+04 2.087531e-13
 Enceladus 1.080000e+20 -1.212482e+11 1.781179e+08 2.117511e-09 -8.436303e+06 1.236895e+04 3.296537e-13
     Mimas 3.750000e+19 -1.987318e+11 2.044774e+08 2.790468e-09 -1.381365e+07 1.419973e+04 3.789377e-13
   Miranda 6.590000e+19 -4.134186e+11 9.561587e+07 2.528424e-09 -2.871856e+07 6.639986e+03 2.385445e-13
     Ariel 1.350000e+21 -1.884483e+11 8.006280e+07 2.766017e-09 -1.309985e+07 5.559875e+03 3.870783e-13
   Umbriel 1.170000e+21 -9.698502e+10 6.709653e+07 1.733687e-09 -6.753166e+06 4.659219e+03 2.586619e-13
   Titania 3.420000e+21 -3.568459e+10 5.229032e+07 1.051344e-09 -2.505493e+06 3.626946e+03 1.295997e-13
    Oberon 3.000000e+21 -1.936029e+10 4.459788e+07 9.452656e-10 -1.374596e+06 3.071636e+03 1.109608e-13
    Triton 2.140000e+22 -5.421670e+10 6.317452e+07 1.204105e-09 -3.788478e+06 4.385676e+03 1.575168e-13
Asteroid_1 2.870850e+16 -1.067519e+11 -6.262379e+10 6.553595e+09 1.657116e+04 -2.824913e+04 -6.768252e+00

# Step 4, Time: 1.440000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 1.554148e+05 1.180084e+05 1.282249e-09 1.222659e+01 1.035830e+01 1.187267e-13
   Mercury 3.301000e+23 5.789230e+10 8.616295e+08 4.446475e-10 -7.127676e+02 4.786576e+04 4.115314e-14
     Venus 4.867000e+24 1.081978e+11 6.303566e+08 2.168857e-10 -2.040976e+02 3.501952e+04 2.008108e-14
     Earth 5.972000e+24 1.495988e+11 5.360389e+08 1.325310e-10 -1.067673e+02 2.977985e+04 1.227225e-14
      Mars 6.417000e+23 2.278995e+11 4.343397e+08 6.175430e-11 -4.600065e+01 2.412996e+04 5.718811e-15
   Jupiter 1.898000e+27 7.785000e+11 2.352600e+08 3.490579e-12 -3.941128e+00 1.307000e+04 3.232376e-16
    Saturn 5.683000e+26 1.433000e+12 1.742400e+08 6.668515e-13 -1.168914e+00 9.680000e+03 6.174985e-17
    Uranus 8.681000e+25 2.877000e+12 1.224000e+08 9.182287e-14 -2.894917e-01 6.800000e+03 8.502443e-18
   Neptune 1.024000e+26 4.503000e+12 9.774000e+07 2.491139e-14 -1.181215e-01 5.430000e+03 2.306668e-18
      Moon 7.342000e+22 -5.788659e+10 1.837407e+07 1.898394e-09 -3.235722e+06 1.020288e+03 2.123875e-13
    Phobos 1.070000e+16 -9.781265e+13 3.848400e+07 4.273393e-10 -5.434036e+09 2.138000e+03 2.374108e-14
    Deimos 1.480000e+15 -1.563133e+13 2.431800e+07 4.272398e-10 -8.684084e+08 1.351000e+03 2.373600e-14
        Io 8.930000e+22 -4.785185e+10 3.110880e+08 1.747423e-09 -2.679599e+06 1.726762e+04 1.884928e-13
    Europa 4.800000e+22 -1.758320e+10 2.342880e+08 1.410757e-09 -9.957560e+05 1.274359e+04 1.377416e-13
  Ganymede 1.480000e+23 2.974408e+10 -3.078138e+09 1.329089e-09 2.091499e+06 -2.160526e+05 1.123175e-13
  Callisto 1.080000e+23 -1.221954e+12 -1.721043e+12 2.979998e-07 -1.131465e+08 -1.593596e+08 2.756956e-11
     Titan 1.345000e+23 -1.256786e+12 -3.593410e+11 3.933911e-08 -8.728164e+07 -2.495563e+07 2.727531e-12
      Rhea 2.310000e+21 -3.018193e+10 1.512266e+08 1.534654e-09 -1.700154e+06 8.370562e+03 1.559659e-13
   Iapetus 1.810000e+21 8.598630e+08 3.829354e+07 1.220647e-09 -3.138247e+05 -4.643489e+02 1.159546e-13
     Dione 1.100000e+21 -6.007867e+10 1.826854e+08 1.931178e-09 -3.357228e+06 1.014480e+04 2.176045e-13
    Tethys 6.170000e+20 -9.853097e+10 2.042523e+08 2.720167e-09 -5.489811e+06 1.134627e+04 3.460470e-13
 Enceladus 1.080000e+20 -1.516188e+11 2.226459e+08 3.902765e-09 -8.436271e+06 1.236890e+04 4.959038e-13
     Mimas 3.750000e+19 -2.484609e+11 2.555964e+08 4.271786e-09 -1.381363e+07 1.419971e+04 4.114771e-13
   Miranda 6.590000e+19 -5.168054e+11 1.195198e+08 3.392488e-09 -2.871856e+07 6.639985e+03 2.400176e-13
     Ariel 1.350000e+21 -2.356078e+11 1.000783e+08 4.307592e-09 -1.309984e+07 5.559869e+03 4.282152e-13
   Umbriel 1.170000e+21 -1.212962e+11 8.386959e+07 3.291989e-09 -6.753115e+06 4.659184e+03 4.328617e-13
   Titania 3.420000e+21 -4.470301e+10 6.534535e+07 1.707811e-09 -2.505117e+06 3.626397e+03 1.823520e-13
    Oberon 3.000000e+21 -2.430424e+10 5.564522e+07 1.474836e-09 -1.373321e+06 3.068704e+03 1.471030e-13
    Triton 2.140000e+22 -6.785463e+10 7.896228e+07 2.065760e-09 -3.788316e+06 4.385487e+03 2.393488e-13
